WK,VENUE,DATE,WHAT,DEPARTMENT,RECEPTION,DAYS COMMITTED,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,PROGRAM
,UCC Church,  2021/11/16,Organ Recital,MUSC,N,1,2,1,L,L,L,L,N,Y,N,28,Y
,Kracum,  2021/11/14,Chamber Music Recital,MUSC,N,1,1,1,L,L,L,L,Y,Y,Y,65,N
,Kracum,  2021/11/12,Orchestra Concert,MUSC,N,2,2,4,M,L,H,L,N,Y,N,283,Y
,Kracum,  2021/11/10,Piano Studio Recital,MUSC,N,1,1,1,L,L,L,L,Y,Y,Y,39,N
,Kracum,  2021/11/07,Choir Concert,MUSC,N,2,2,3,L,L,M,L,N,Y,Y,173,Y
,Kracum,  2021/11/06,Voice Showcase Recital,MUSC,N,1,0,1,L,L,L,L,Y,Y,Y,58,N
,Kracum,  2021/11/04,Jazz Concert,MUSC,N,2,3,2,H,H,H,L,N,Y,Y,NA,Y
,Kracum,  2021/10/31,Symphony Concert,MUSC,N,1,0,3,M,L,H,L,N,Y,N,99,Y
,Kracum,  2021/10/30,Chinese & Global Music Concert,MUSC,N,1,3,3,M,M,M,L,N,Y,Y,95,Y
,Kracum,  2021/10/15,GUEST: Randall Scarlata & Nikki Melville,MUSC,N,1,2,3,L,L,L,L,Y,Y,Y,120,N
,Kracum,  2021/10/08,GUEST: Issam Rafea & Gao,MUSC,Y,1,2,4,L,L,L,L,N,Y,N,81,N
